ID;Category;Source;URLs;Title;cleanedTitle;MediaPlatform;MediaFormat;EmbeddedExternalVideo;PublicationDate;Country;Language;Setting;MusicMakerProfessionalism;Movement;HealthInfo;Conflict;Emotions;Features;FirstCoder;SecondCoder
572;media;GoogleSheet;https://edm.com/news/germany-hosted-the-worlds-first-drive-in-rave-amid-covid-19-lockdowns;"Germany's BIGCITYBEATS Hosted the World's First ""Drive-In Rave"" Amid Covid-19 Lockdown";Germanys BIGCITYBEATS Hosted the Worlds First DriveIn Rave Amid Covid Lockdown;EDM.com;writtenDigital;0;01-05-2020;USA;English;concert, outside;prof;1;0;0;happiness;drive-in, rave;MT;NCH
573;media;GoogleSheet;https://www.stereogum.com/2083183/destroyers-foolssong-video-is-a-powerful-image-of-isolation/news/;Destroyer’s “Foolssong” Video Is A Powerful Image Of Isolation (corona-adjacent music video);Destroyers Foolssong Video Is A Powerful Image Of Isolation coronaadjacent music video;Stereogum;writtenDigital, video;1;04-05-2020;USA;English;online;prof;0;0;0;loneliness;live concert;MT;JB
574;media;GoogleSheet;https://www.flatlandkc.org/arts-culture/age-of-coronavirus-quarantine-diary-3/;Age of Coronavirus: Quarantine Diary: How To Party In A Pandemic (focus on JQBX);Age of Coronavirus Quarantine Diary How To Party In A Pandemic focus on JQBX;Flatland;writtenDigital;0;10-04-2020;USA;English;home, online;amateur;1;0;0;togetherness, happiness;virtual party;MT;JB
576;media;GoogleSheet;https://theconversation.com/singing-away-the-coronavirus-blues-making-music-in-a-time-of-crisis-reminds-us-we-belong-133790;Conversation article on singing away the coronavirus blues (Langley & Coutts);Conversation article on singing away the coronavirus blues Langley  Coutts;The Conversation;writtenDigital;1;25-03-2020;Australia;English;home, balcony, online;amateur, prof;0;0;0;togetherness, being moved, loneliness;video compilation, science;MT;DS
577;media;GoogleSheet;https://www.rollingstone.com/music/music-features/music-in-crisis-victor-alarcon-stranded-under-the-northern-lights-995014/;Stranded Under the Northern Lights: A Musician’s Surreal Coronavirus Quarantine;Stranded Under the Northern Lights A Musicians Surreal Coronavirus Quarantine;Rolling Stone;writtenDigital;1;08-05-2020;USA;English;outside;prof;0;0;0;gratitude, happiness, being moved, calm;music video;MT;NCH
578;media;GoogleSheet;https://www.vice.com/en_us/article/k7qenw/the-ghanaian-pallbearers-lean-into-their-role-as-pandemic-grim-reapers;The Ghanaian Pallbearers Lean Into Their Role as Pandemic Grim Reapers;The Ghanaian Pallbearers Lean Into Their Role as Pandemic Grim Reapers;Vice;writtenDigital;1;06-05-2020;USA;English;outside;prof;1;0;0;humour, gratitude;NA;MT;JB
579;media;GoogleSheet;https://www.rollingstone.com/music/music-features/music-crisis-concerts-tours-980968/;The Week the Music Stopped;The Week the Music Stopped;Rolling Stone;writtenDigital;0;15-04-2020;USA;English;venue, concert, home;prof;0;0;1;grief/sadness, fear, loss;music industry, live concert, festival;MT;DS
581;media;GoogleSheet;http://www.brooklynvegan.com/jon-hopkins-shares-new-ambient-track-part-of-his-24-hour-quiet-playlist/;Jon Hopkins Collaborative Ambient Playlist (shared to combat corona fatigue);Jon Hopkins Collaborative Ambient Playlist shared to combat corona fatigue;Brooklyn Vegan;writtenDigital;1;07-05-2020;USA;English;home, online;prof;0;0;0;happiness, calm;playlist;MT;JB
582;media;GoogleSheet;http://www.brooklynvegan.com/wreckless-eric-shares-new-song-he-recorded-while-recovering-from-covid-19/;Wreckless Eric shares new song he recorded while recovering from COVID-19;Wreckless Eric shares new song he recorded while recovering from COVID;Brooklyn Vegan;writtenDigital, audio;0;01-05-2020;USA;English;home, online;prof;0;0;0;loneliness, grief/sadness, happiness, sick;original song;MT;DS
583;media;GoogleSheet;https://www.thelineofbestfit.com/features/reference-points/blue-lab-beats-on-globalism-and-staying-connected-in-a-crisis-through-music;Blue Lab Beats on globalism and staying connected in a crisis through music;Blue Lab Beats on globalism and staying connected in a crisis through music;The Line of Best Fit;writtenDigital;1;09-05-2020;UK;English;home, studio, online;prof;0;0;0;loneliness, togetherness;NA;MT;JB
584;media;GoogleSheet;https://www.stereogum.com/2083910/james-blake-stevie-wonder-cover-never-dreamed-youd-leave-in-summer/video/;Watch James Blake Cover Stevie Wonder’s “Never Dreamed You’d Leave In Summer” (Ongoing Livestream Series);Watch James Blake Cover Stevie Wonders Never Dreamed Youd Leave In Summer Ongoing Livestream Series;Stereogum;writtenDigital;1;09-05-2020;USA;English;online, home;prof;0;0;0;humour, togetherness, happiness;cover, performance;MT;DS
585;media;GoogleSheet;https://www.stereogum.com/2083820/live-nation-drive-in-concerts-fan-less-broadcasts-reduced-capacity-festivals/news/;Live Nation To Test Drive-In Concerts, Fan-Less Broadcasts, Reduced-Capacity Festivals;Live Nation To Test DriveIn Concerts FanLess Broadcasts ReducedCapacity Festivals;Stereogum;writtenDigital, video;0;08-05-2020;USA;English;outside, car;prof;0;0;0;NA;drive-in, live concert;MT;JB
586;media;GoogleSheet;https://www.stereogum.com/2083760/watch-jason-isbell-talk-about-the-impact-of-coronavirus-perform-only-children-with-amanda-shires-on-the-daily-show/video/;Watch Jason Isbell Talk About The Impact Of Coronavirus & Perform “Only Children” With Amanda Shires On The Daily Show;Watch Jason Isbell Talk About The Impact Of Coronavirus  Perform Only Children With Amanda Shires On The Daily Show;Stereogum;writtenDigital;1;08-05-2020;USA;English;home;prof;0;0;0;grief/sadness, togetherness;talk show;MT;DS
587;media;GoogleSheet;https://www.stereogum.com/2083517/justin-bieber-ariana-grande-stuck-with-u/video/;Justin Bieber & Ariana Grande – “Stuck With U” (Corona-inspired, corona-collab);Justin Bieber  Ariana Grande  Stuck With U Coronainspired coronacollab;Stereogum;writtenDigital;1;08-05-2020;USA;English;online, home;prof;1;0;0;gratitude, togetherness, happiness, being moved;original song;MT;DS
588;media;GoogleSheet;https://www.stereogum.com/2083529/phoebe-bridgers-clairo-rina-sawayama-1975-covers/video/;Watch Phoebe Bridgers, Clairo, & Rina Sawayama Cover The 1975 (album promotion in the corona-era);Watch Phoebe Bridgers Clairo  Rina Sawayama Cover The  album promotion in the coronaera;Stereogum;writtenDigital, video;1;07-maj;USA;English;home, online;prof;0;0;0;happiness;virtual concert, virtual performance;MT;JB
589;media;GoogleSheet;https://www.theguardian.com/us-news/video/2020/may/06/trump-live-and-let-die-video;Live and Let Die plays as Donald Trump visits mask factory without a mask – video;Live and Let Die plays as Donald Trump visits mask factory without a mask  video;The Guardian;video;0;06-05-2020;USA;English;factory, work;prof;0;0;0;humour, anger, satire;politics;MT;DS
590;media;GoogleSheet;https://www.npr.org/sections/health-shots/2020/05/09/852078068/comic-hospitals-turn-to-alicia-keys-u2-and-the-beatles-to-sing-patients-home;COMIC: Hospitals Turn To Alicia Keys, U2 And The Beatles To Sing Patients Home;COMIC Hospitals Turn To Alicia Keys U And The Beatles To Sing Patients Home;NPR;writtenDigital;0;09-05-2020;USA;English;hospital, healthcare;prof;0;1;0;humour, gratitude, togetherness, happiness, being moved, hope;comics;MT;NCH
591;media;GoogleSheet;https://www.vice.com/en_us/article/y3zmqb/kexp-is-keeping-seattle-and-everyone-else-sane;KEXP Is Keeping Seattle and Everyone Else Sane;KEXP Is Keeping Seattle and Everyone Else Sane;Vice;writtenDigital;0;11-05-2020;USA;English;home, radio;prof;0;0;0;gratitude, loneliness, nostalgia;radio;MT;JV
592;media;GoogleSheet;https://www.npr.org/sections/coronavirus-live-updates/2020/03/23/820305127/a-playlist-tracking-the-many-new-tracks-being-written-about-the-coronavirus;A Playlist Tracking The Many New Tracks Being Written About The Coronavirus;A Playlist Tracking The Many New Tracks Being Written About The Coronavirus;NPR;writtenDigital;0;23-05-2020;USA;English;online, home;prof;0;0;0;loneliness, togetherness;playlist;MT;JV
593;media;GoogleSheet;https://www.esquire.com/uk/culture/a32360709/coronavirus-music-industry/;Impact of COVID-19  on the music business;Impact of COVID  on the music business;Esquire;writtenDigital;0;08-05-2020;UK;English;concert, venue;prof;0;0;1;grief/sadness, togetherness, anger, growth, fairness;music industry, festival;MT;DS
594;media;GoogleSheet;https://www.businessinsider.com/coronavirus-spotify-playlists-inspired-by-and-life-in-quarantine-2020-3;People are making coronavirus and quarantine themed Spotify playlists;People are making coronavirus and quarantine themed Spotify playlists;Business Insider;writtenDigital;0;13-03-2020;USA;English;home, online;prof, amateur;0;0;0;togetherness, frustration;playlist;MT;JB
