ID;Category;Source;URLs;Title;PublicationDate;SoMePlatform;RetroSampleDate;RetroSampleCountry;JointMusicking;OrigCovidSong;OrigCovidLyrics;Movement;HealthInfo;Conflict;Country;LyricsLanguage;Setting;Genre;Emotions;Features;FirstCoder;SecondCoder
267;video;GoogleSheet;https://www.tiktok.com/@hamstarz/video/6801990390607121670?lang=en, https://www.youtube.com/watch?v=lOJ8Lc-TfNg;Hamster gives PSA;09-03-2020;TikTok, YouTube;NA;NA;0;0;1;0;1;0;USA;NA;home;pop, dance/electronica;humour, happiness;NA;MT;DS
766;video;SurveyXact;https://twitter.com/Sk_Mbatha/status/1237046874126921733?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1237046874126921733;Skhumbuzo Mbatha @Sk_Mbatha · 9. mar. Welcome to South Africa where we sing about virtually everything.;09-03-2020;Twitter;NA;NA;1;1;1;1;0;0;South Africa;zulu, afrikaans;outside;folk, world;togetherness, happiness;NA;MT;JV
1045;video;Retrospective;https://www.youtube.com/watch?v=xbPpL8Tz3Ss;Fight Against Wuhan Covid-19 | Song of Encouragement(Fight For My Life – Priscilla Abby ???);09-03-2020;YouTube;09-03-2020;Denmark;1;0;0;1;1;0;Malaysia;chinese;hospital, healthcare;pop;hope, togetherness, resilience, gratitude, being moved;news report, dance;NCH;MT
36;video;GoogleSheet;https://www.youtube.com/watch?v=JE0TGFVquvM;COVID 19 (Come on Eileen) - Sam Chaplin;10-03-2020;YouTube;NA;NA;0;0;1;0;0;0;UK;english;home;pop, oldies;humour, happiness;NA;MT;JV
764;video;SurveyXact;https://twitter.com/ChoirAfrica/status/1237505721433853952?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1237505721433853952;Ndlovu Youth Choir @ChoirAfrica Video;10-03-2020;Twitter;NA;NA;1;1;1;1;1;0;South Africa;english, zulu;outside;dance/electronica, world;happiness, togetherness;dance, educational;MT;JV
1046;video;Retrospective;https://www.youtube.com/watch?v=2DI0NhJrXTI;Doctors' rap song teaches kids about the coronavirus | FOX 5 DC;10-03-2020;YouTube;10-03-2020;USA;1;1;1;1;1;0;USA;english;home, tv studio;rap/hip-hop, pop;humour, happiness;music video, for kids;DS;NCH
1047;video;Retrospective;https://www.youtube.com/watch?v=3pJI626vyek;Singing a song to kill Novel Coronaviruses (SARS-COV-2);10-03-2020;YouTube;10-03-2020;Italy;0;0;0;0;1;0;USA;punjabi;bathroom, home;world;happiness, relaxation;instructional, handwashing ;DS;NCH
1048;video;Retrospective;https://www.youtube.com/watch?v=iOkB3TMJaq4;Smile - a Chinese cover for fighting COVID-19;10-03-2020;YouTube;10-03-2020;USA;1;0;0;0;0;0;China;chinese;home, studio;oldies, pop;happiness, hope, togetherness;still;DS;NCH
29;video;GoogleSheet;https://www.youtube.com/watch?v=-2cFN2iC9u8;Goodbye Corona!!! (My Sharona and COVID-19 Parody);11-03-2020;YouTube;NA;NA;1;0;1;0;1;1;USA, Canada;english;home, car;pop, rock, oldies;humour, frustration;music video;MT;NCH
1049;video;Retrospective;https://www.youtube.com/watch?v=ScfiFCpR7KY;My Corona: The Antivirus Song - Suzi Kory;11-03-2020;YouTube;11-03-2020;Canada;1;1;1;0;0;0;Canada;english;bar;country;humour, happiness;NA;JW;DS
1050;video;Retrospective;https://www.youtube.com/watch?v=PhJ88WJb58A;Coronavirus | This Viral Indian Video of Women Singing 'Corona Bhaag Ja' Will Leave You In Splits;11-03-2020;YouTube;11-03-2020;Italy;1;1;1;0;0;0;India;hindi;home, hospital, healthcare;world;fear, togetherness, humour;prayer, news report;JW;DS
1051;video;Retrospective;https://www.youtube.com/watch?v=GUO3YKXnxVU;Zagga - New Hail (Coronavirus);11-03-2020;YouTube;11-03-2020;UK;0;1;1;1;1;0;Jamaica;english;outside, shop, street;reggae;togetherness,happiness;music video;JW;DS
1052;video;Retrospective;https://www.youtube.com/watch?v=GN94pZqP1Rc;Ndlovu Youth Choir - We've Got This - Fight against Coronavirus/COVID-19;11-03-2020;YouTube;11-03-2020;Denmark;1;1;1;1;1;0;South Africa;english, zulu;outside, shop, street;world, traditional South African;togetherness, happiness, being moved, hope, helpfulness;music video, dance, choreography;JW;DS
1089;video;Retrospective;https://www.youtube.com/watch?v=XqceXo1rXzY;CORONA SONG | ENGLISH | AMERICANA/FOLK VERSION | Cover of Ghen Cô Vy | WASHING HAND SONG;11-03-2020;YouTube;11-03-2020;USA;1;0;1;0;0;0;USA;english;studio, venue;country, folk, americana;happiness, humour, togetherness;music video;DS;JW
21;video;GoogleSheet;https://www.youtube.com/watch?v=a2LLF9eE_VI;20-Second Parodies for Handwashing - Holderness Family;12-03-2020;YouTube;NA;NA;0;0;1;0;1;0;USA;english;home, studio;pop, rock, rap/hip-hop;humour;medley, compilation;MT;JB
44;video;GoogleSheet;https://www.youtube.com/watch?v=lH9k4HTaTxU;Corona Virus Dance Challenge - Let's dance for a good cause!;12-03-2020;YouTube;NA;NA;1;0;0;1;1;0;Switzerland;NA;gym, dance studio;dance/electronica;happiness;dance, educational;MT;NCH
1053;video;Retrospective;https://www.youtube.com/watch?v=ZpAQotqUSZ8;CORONAVIRUS SONG 10 HOURS;12-03-2020;YouTube;12-03-2020;USA;1;1;1;1;1;0;Mexico;spanish;animation;world, latin, cumbia;humour, happiness;remix, loop;JV;MT
1054;video;Retrospective;https://www.youtube.com/watch?v=wLogN1ddGCI;Gana Sudhakar | Corona Awareness song | South Chennai Music;12-03-2020;YouTube;12-03-2020;Denmark;1;1;1;0;0;0;India;tamil;studio;world, pop, traditional indian;happiness;NA;JV;MT
1055;video;Retrospective;https://www.youtube.com/watch?v=TFsoi7KnBhk;WASH YOUR HANDS!! [Anti Coronavirus Remix];12-03-2020;YouTube;12-03-2020;USA;0;1;1;1;1;0;USA;english;home;dance/electronica;humour, happiness;remix, mashup, compilation;JV;MT
8;video;GoogleSheet;https://www.youtube.com/watch?v=Q734VN0N7hw;Coronavirus: quarantined Italians sing from balconies to lift spirits - Guardian News;13-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Italy;italian;balcony, outside;pop, folk, rock, oldies;gratitude, togetherness, happiness, hope, nostalgia;patriotism, compilation, news report;MT;JV
9;video;GoogleSheet;https://www.youtube.com/watch?v=x_rLw6SCSmE;Coronavirus outbreak: Italian residents join together to sing from balconies during lockdown - Global News;13-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Italy;italian;balcony;pop, folk, oldies, classical;togetherness, happiness;patriotism, compilation, news report;MT;JV
49;video;GoogleSheet;https://www.youtube.com/watch?v=Q734VN0N7hw;Coronavirus: quarantined Italians sing from balconies to lift spirits;13-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Italy;italian;balcony;pop, oldies;togetherness, being moved;compilation, news report, patriotism;MT;NCH
712;video;SurveyXact;https://soundcloud.com/user-275864738/viral-counterpoint-of-the-coronavirus-spike-protein-2019-ncov;Sonification of coronavirus spike protein;13-03-2020;Soundcloud;NA;NA;0;1;0;0;0;0;USA;NA;NA;classical;happiness, curious, loneliness;sonification;MT;JB
761;video;SurveyXact;https://www.youtube.com/watch?v=Q4BXRAiNdmo;Quarantine - a song for covid19;13-03-2020;YouTube;NA;NA;0;1;1;0;0;0;USA;english;home;folk, country, pop, rock;loneliness, humour, nostalgia, grief/sadness;NA;MT;JV, JB
776;video;SurveyXact;https://www.youtube.com/watch?v=E0fRxJ2Up3k;Viva la nostra Siena;13-03-2020;YouTube;NA;NA;1;0;0;0;0;0;Italy;italian;outside, balcony;folk, pop, classical;togetherness, happiness;patriotism;MT;JV, JB
3;video;GoogleSheet;https://www.youtube.com/watch?v=DDRiINXik00;Heartwarming Moments Quarantined Italians Sing Together from Balconies - On Demand News;14-03-2020;YouTube;NA;NA;1;0;0;1;0;0;Italy;italian;balcony;folk, opera, oldies;gratitude, togetherness, being moved, loneliness;compilation, news report, patriotism;MT;NCH
